Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
Alabama,2022,10,3/12/2022,1180,1067,24,197,31,43,17,76,15,30,12,279,56,106,86
Alabama,2022,11,3/19/2022,1138,1047,20,194,30,37,16,67,23,23,18,290,54,74,58
Alabama,2022,12,3/26/2022,1084,1001,17,161,26,43,13,60,16,24,21,275,48,55,36
Alabama,2022,13,4/2/2022,1040,956,25,169,36,33,22,59,24,26,20,243,65,35,21
Alabama,2022,14,4/9/2022,1088,994,18,186,38,37,20,40,14,28,21,288,64,30,21
Alabama,2022,15,4/16/2022,1072,979,19,187,29,44,13,63,24,29,23,265,62,17,
Alabama,2022,16,4/23/2022,1036,955,24,170,34,42,17,57,24,27,20,276,48,21,15
Alabama,2022,17,4/30/2022,1050,947,21,178,25,51,11,59,25,26,18,265,64,16,
Alabama,2022,18,5/7/2022,985,877,17,191,25,29,16,45,23,20,17,229,56,19,16
Alabama,2022,19,5/14/2022,998,907,22,189,25,35,15,56,19,27,12,251,43,11,
Alabama,2022,20,5/21/2022,1053,947,28,190,27,51,15,57,13,24,18,247,61,15,
Alabama,2022,21,5/28/2022,1108,1003,30,202,20,43,16,45,18,24,23,292,57,11,
Alabama,2022,22,6/4/2022,1045,952,17,183,32,61,15,52,23,24,22,226,64,18,11
Alabama,2022,23,6/11/2022,1066,977,21,212,27,55,13,48,22,20,30,254,49,26,20
Alabama,2022,24,6/18/2022,1065,964,25,185,29,55,,40,22,21,19,284,53,25,18
Alabama,2022,25,6/25/2022,1051,974,26,183,32,44,15,58,14,24,24,266,66,21,16
Alabama,2022,26,7/2/2022,1092,1013,24,195,25,55,10,55,24,27,32,279,48,42,36
Alabama,2022,27,7/9/2022,1037,945,23,155,26,51,,56,14,21,38,259,56,45,33
Alabama,2022,28,7/16/2022,1092,1008,21,203,24,52,11,45,29,23,30,281,59,64,51
Alabama,2022,29,7/23/2022,1112,1041,24,203,31,39,17,53,18,23,34,274,62,56,42
Alabama,2022,30,7/30/2022,1068,989,19,191,27,46,13,56,17,19,33,256,58,61,44
Alabama,2022,31,8/6/2022,1067,996,18,183,25,49,17,58,24,19,36,243,60,65,54
Alabama,2022,32,8/13/2022,1048,989,22,189,28,45,,60,13,21,41,243,51,67,53
Alabama,2022,33,8/20/2022,1044,983,10,207,28,48,,55,31,22,36,238,50,55,40
Alabama,2022,34,8/27/2022,993,945,19,164,22,50,18,44,18,20,36,261,54,50,32
Alabama,2022,35,9/3/2022,978,921,26,175,20,36,10,45,13,24,38,250,48,44,34
Alabama,2022,36,9/10/2022,914,873,15,184,28,46,12,35,13,28,23,229,55,49,34
Alabama,2022,37,9/17/2022,861,851,15,167,19,53,11,41,,23,19,216,62,35,30
Alabama,2022,38,9/24/2022,619,619,13,108,19,32,12,43,11,20,18,160,34,25,17
Alaska,2020,1,1/4/2020,89,71,,16,,,0,,0,,0,17,,0,0
Alaska,2020,2,1/11/2020,105,93,,22,,,0,,,,0,24,,0,0
Alaska,2020,3,1/18/2020,99,83,,21,,,0,,,,0,15,,0,0
Alaska,2020,4,1/25/2020,97,82,,21,,,0,,0,,,19,,0,0
Alaska,2020,5,2/1/2020,85,74,,17,,,,,,0,,20,,0,0
Alaska,2020,6,2/8/2020,92,75,0,15,,,,,,,,22,,0,0
Alaska,2020,7,2/15/2020,89,74,,20,,,0,,,,0,19,,0,0
Alaska,2020,8,2/22/2020,83,64,,16,,,,,,0,,,,0,0
Alaska,2020,9,2/29/2020,84,76,,18,,0,,,,,,14,,0,0
Alaska,2020,10,3/7/2020,79,68,,20,0,,,,,,0,15,,0,0
Alaska,2020,11,3/14/2020,92,80,,20,,0,,,,0,,22,,0,0
Alaska,2020,12,3/21/2020,69,55,0,,,,,,,,,10,,0,0
Alaska,2020,13,3/28/2020,86,75,,16,,,,,,,0,15,,,
Alaska,2020,14,4/4/2020,98,84,,21,,,,,,0,0,14,,,
Alaska,2020,15,4/11/2020,84,71,,15,,,,,,,,20,,,
Alaska,2020,16,4/18/2020,80,71,0,17,,,,,0,,0,13,,,
Alaska,2020,17,4/25/2020,61,55,,12,0,,,,,,0,12,0,0,0
Alaska,2020,18,5/2/2020,87,78,,17,,,,,,0,,18,,0,0
Alaska,2020,19,5/9/2020,89,77,,20,,,,,,0,0,13,,,0
Alaska,2020,20,5/16/2020,84,68,0,18,,0,,,0,,,20,,0,0
Alaska,2020,21,5/23/2020,82,68,0,19,,,0,,0,0,0,17,,0,0
Alaska,2020,22,5/30/2020,97,82,,23,,,0,,0,,,18,,0,0
Alaska,2020,23,6/6/2020,79,66,0,16,,,,,,0,,19,,0,0
Alaska,2020,24,6/13/2020,88,71,,19,,,,,,0,0,16,,,
Alaska,2020,25,6/20/2020,92,74,0,28,0,,,,0,,,15,,0,0
Alaska,2020,26,6/27/2020,90,67,0,16,,,,,,0,,15,,0,0
Alaska,2020,27,7/4/2020,84,64,,16,,,0,,0,,,17,,,
Alaska,2020,28,7/11/2020,101,83,,20,,,0,,0,,,19,,,
Alaska,2020,29,7/18/2020,89,72,0,20,,,0,,0,,,12,,,
Alaska,2020,30,7/25/2020,93,76,0,20,,,,,0,,,19,,,
Alaska,2020,31,8/1/2020,114,83,0,17,,,0,,,,0,18,,,
Alaska,2020,32,8/8/2020,101,86,,15,,,0,,0,,,20,,,
Alaska,2020,33,8/15/2020,74,66,0,15,,,0,,0,,,17,,,
Alaska,2020,34,8/22/2020,116,101,,25,,,,,0,0,,27,,,
Alaska,2020,35,8/29/2020,93,75,,23,,,0,,0,0,,11,,,
Alaska,2020,36,9/5/2020,105,89,,20,,,,,,0,0,17,,,
Alaska,2020,37,9/12/2020,87,72,,22,,,0,,0,,,12,,,
Alaska,2020,38,9/19/2020,104,79,,16,,,0,,,,,10,11,,
Alaska,2020,39,9/26/2020,114,96,,18,,,0,,,,,18,,,
Alaska,2020,40,10/3/2020,78,64,0,,,,0,,,0,,19,,,
Alaska,2020,41,10/10/2020,117,97,,20,,,,,,,,26,,,
Alaska,2020,42,10/17/2020,101,91,,25,,,0,,,,0,14,,10,
Alaska,2020,43,10/24/2020,102,89,0,17,,,,,0,,,27,,,
Alaska,2020,44,10/31/2020,107,94,0,30,,,,,0,,,13,,10,
Alaska,2020,45,11/7/2020,114,91,0,22,,,,,0,,0,19,,,
Alaska,2020,46,11/14/2020,114,99,0,21,,,,,0,,,18,,16,15
Alaska,2020,47,11/21/2020,122,108,0,22,,,0,,0,,,18,,15,13
Alaska,2020,48,11/28/2020,114,107,,20,,,0,,,,,18,,21,16
Alaska,2020,49,12/5/2020,118,102,,17,,,,,0,,0,,,31,29
Alaska,2020,50,12/12/2020,135,118,0,24,,,,,0,0,,26,,24,22
Alaska,2020,51,12/19/2020,99,91,,19,,,,0,0,,0,16,,20,19
Alaska,2020,52,12/26/2020,115,100,,17,,,,0,,,0,24,,24,19
Alaska,2020,53,1/2/2021,105,88,,17,,,0,,,0,,11,,10,10
Alaska,2021,1,1/9/2021,113,97,,16,,,,,,,,25,,13,12
Alaska,2021,2,1/16/2021,130,117,,26,,,,,,,,27,,,
Alaska,2021,3,1/23/2021,97,85,,25,,,0,,,0,0,16,,,
Alaska,2021,4,1/30/2021,92,79,,18,,,0,,0,0,,15,,,
Alaska,2021,5,2/6/2021,87,75,,20,,,0,,,,0,10,,,
Alaska,2021,6,2/13/2021,93,76,,18,0,,0,,,,0,18,,,
Alaska,2021,7,2/20/2021,88,77,,,,,0,,,,0,19,,,
Alaska,2021,8,2/27/2021,94,82,,14,,,,,,,,18,,,
Alaska,2021,9,3/6/2021,97,84,,16,,0,,,,,,20,,,
Alaska,2021,10,3/13/2021,86,73,,17,,0,,,,,,17,,,
Alaska,2021,11,3/20/2021,101,82,0,22,,,0,,,0,0,18,,,
Alaska,2021,12,3/27/2021,93,75,,15,,,,,,,0,18,,,
Alaska,2021,13,4/3/2021,89,75,0,22,,,,,,,,17,,,
Alaska,2021,14,4/10/2021,102,81,,17,,,0,,0,,,17,,,
Alaska,2021,15,4/17/2021,95,86,0,22,,0,,11,,,,17,,,
Alaska,2021,16,4/24/2021,84,69,,25,,,0,,,,,10,,,
Alaska,2021,17,5/1/2021,115,93,0,26,,,,,0,,,20,,,
Alaska,2021,18,5/8/2021,92,77,,13,,,0,,,,,18,,13,12
Alaska,2021,19,5/15/2021,99,83,0,17,,0,0,,0,,,20,,10,
Alaska,2021,20,5/22/2021,97,79,0,20,,,0,,0,,,14,,,
Alaska,2021,21,5/29/2021,110,88,,23,,,,,,,0,20,,,
Alaska,2021,22,6/5/2021,83,66,,12,,,0,,,,,17,,,
Alaska,2021,23,6/12/2021,91,77,,21,,,,,0,,,18,,,
Alaska,2021,24,6/19/2021,108,89,0,23,,,0,,,,,18,,,
Alaska,2021,25,6/26/2021,90,78,0,20,,0,0,,,0,,14,,,
Alaska,2021,26,7/3/2021,107,94,,19,,,,,,,,22,,,
Alaska,2021,27,7/10/2021,98,79,,20,,,,,0,0,,26,,,
Alaska,2021,28,7/17/2021,111,89,,18,,,,,,,,19,,0,0
Alaska,2021,29,7/24/2021,99,83,,15,,,,,0,,,13,,,
Alaska,2021,30,7/31/2021,115,93,,16,,,,,,,,17,,16,15
Alaska,2021,31,8/7/2021,144,114,,22,,,0,,,,,18,,26,24
Alaska,2021,32,8/14/2021,116,100,,20,,0,,,,,,20,,23,23
Alaska,2021,33,8/21/2021,150,125,0,26,,,0,,,,,30,,23,22
Alaska,2021,34,8/28/2021,135,110,,23,,,,,0,0,,23,,22,17
Alaska,2021,35,9/4/2021,131,120,,22,,,0,10,,,0,18,,38,34
Alaska,2021,36,9/11/2021,131,115,,13,,,,,,,0,23,,31,28
Alaska,2021,37,9/18/2021,147,129,0,26,,,0,,,,0,23,,42,39
Alaska,2021,38,9/25/2021,153,133,,24,,,,,0,0,0,23,,55,50
Alaska,2021,39,10/2/2021,171,153,,28,,,0,,,,,16,,57,54
Alaska,2021,40,10/9/2021,150,131,,18,,,0,,,0,0,19,,43,41
Alaska,2021,41,10/16/2021,162,142,,17,,0,,,0,,,23,,44,42
Alaska,2021,42,10/23/2021,171,149,0,23,,,0,,,,,17,,50,44
Alaska,2021,43,10/30/2021,169,154,,21,,0,,,,,,23,,59,55
Alaska,2021,44,11/6/2021,150,128,,22,,0,,12,,,,23,,38,33
Alaska,2021,45,11/13/2021,115,102,,15,,,0,,0,0,,21,,25,24
Alaska,2021,46,11/20/2021,131,116,,21,,,,,0,,0,21,,25,22
Alaska,2021,47,11/27/2021,154,131,,25,,,,,,,0,21,,29,28
Alaska,2021,48,12/4/2021,142,122,,23,,,,,,0,,30,,17,16
Alaska,2021,49,12/11/2021,128,115,,29,,,,,,,,15,,17,15
Alaska,2021,50,12/18/2021,121,107,,20,,,,,,,0,15,,,
Alaska,2021,51,12/25/2021,115,98,,22,,,,,0,0,,22,,10,
Alaska,2021,52,1/1/2022,118,98,0,18,,,,,,,,18,,,
Alaska,2022,1,1/8/2022,116,105,,21,,,,,0,0,,19,,15,12
Alaska,2022,2,1/15/2022,120,104,,21,,,,,,0,,19,,13,12
Alaska,2022,3,1/22/2022,119,107,,16,,,,,0,0,,19,14,17,13
Alaska,2022,4,1/29/2022,121,107,,21,,,0,,0,,,18,,19,18
Alaska,2022,5,2/5/2022,103,91,,16,,,,,,,,12,,15,13
Alaska,2022,6,2/12/2022,112,99,0,20,,,,,,,0,15,,25,22
Alaska,2022,7,2/19/2022,119,102,0,17,,,,,0,,,24,,22,17
Alaska,2022,8,2/26/2022,92,74,0,15,,,0,,,,,11,,15,14
Alaska,2022,9,3/5/2022,104,87,,16,,,0,,,0,,17,,16,12
Alaska,2022,10,3/12/2022,101,79,,20,,,0,,0,,,20,,,
Alaska,2022,11,3/19/2022,102,90,,20,,,,,,,,18,,,
Alaska,2022,12,3/26/2022,103,84,,25,,,,,0,,,13,,,
Alaska,2022,13,4/2/2022,99,82,,23,,,0,,0,,0,20,,,
Alaska,2022,14,4/9/2022,105,88,,20,,,,,,,,16,,,
Alaska,2022,15,4/16/2022,93,79,,17,,,,,,0,,16,,,
Alaska,2022,16,4/23/2022,92,80,,15,,,0,,,,,17,,,
Alaska,2022,17,4/30/2022,92,73,,,,0,,,,0,,17,,,
Alaska,2022,18,5/7/2022,92,79,0,25,,,,,,,,17,,,
Alaska,2022,19,5/14/2022,93,84,,22,,,,,,,0,20,,,
Alaska,2022,20,5/21/2022,93,79,,20,,,,,,,,15,,,
Alaska,2022,21,5/28/2022,108,97,,23,,,,,,,0,25,,,
Alaska,2022,22,6/4/2022,109,88,,20,,,,,,,,23,,,
Alaska,2022,23,6/11/2022,112,85,,20,,,,,,,,15,,,
Alaska,2022,24,6/18/2022,106,88,,25,,,,,,,0,15,,,
Alaska,2022,25,6/25/2022,108,95,,21,,,,,,,,16,,,
Alaska,2022,26,7/2/2022,108,93,0,21,,,0,,,,,26,,,
Alaska,2022,27,7/9/2022,87,68,,11,,,,,,,,18,,,
Alaska,2022,28,7/16/2022,124,107,,25,,,,,0,,,29,,,
Alaska,2022,29,7/23/2022,100,87,,22,,,,,0,0,,26,,,
Alaska,2022,30,7/30/2022,107,91,0,21,,,0,,,,,20,,,
Alaska,2022,31,8/6/2022,96,88,,18,,,,,,,0,18,,,
Alaska,2022,32,8/13/2022,77,69,,20,,,0,,,,,11,,,
Alaska,2022,33,8/20/2022,83,77,,15,,,,,,,,13,,,
Alaska,2022,34,8/27/2022,80,75,,15,,,,0,,,0,25,,,0
Alaska,2022,35,9/3/2022,78,70,,19,,,0,,,,,12,,,
Alaska,2022,36,9/10/2022,60,58,,13,,,,,0,0,0,13,,,
Alaska,2022,37,9/17/2022,54,54,,16,,,,0,,,,10,,,
Alaska,2022,38,9/24/2022,27,27,,,,0,,,0,,,,,,
Arizona,2020,1,1/4/2020,1301,1182,,248,47,66,30,90,17,11,17,314,55,0,0
Arizona,2020,2,1/11/2020,1391,1249,,277,57,67,26,85,20,19,21,299,64,0,0
Arizona,2020,3,1/18/2020,1315,1175,,265,45,65,31,75,30,20,14,275,66,0,0
Arizona,2020,4,1/25/2020,1275,1156,10,241,54,58,36,77,25,20,19,282,58,0,0
Arizona,2020,5,2/1/2020,1265,1131,,265,49,55,34,75,19,17,16,287,64,0,0
Arizona,2020,6,2/8/2020,1264,1137,,238,52,66,30,78,17,12,24,279,63,0,0
Arizona,2020,7,2/15/2020,1314,1191,,248,53,66,33,88,18,10,19,297,71,0,0
Arizona,2020,8,2/22/2020,1342,1184,,261,37,60,31,83,16,17,20,289,65,0,0
Arizona,2020,9,2/29/2020,1353,1197,,256,53,64,33,84,27,14,26,273,71,0,0
Arizona,2020,10,3/7/2020,1380,1235,12,256,44,67,29,79,30,16,23,312,73,0,0
Arizona,2020,11,3/14/2020,1349,1200,,255,46,64,32,102,27,17,22,295,72,,0
Arizona,2020,12,3/21/2020,1290,1157,,262,44,63,36,79,30,13,17,259,65,,
Arizona,2020,13,3/28/2020,1324,1215,,262,52,66,37,81,20,20,19,277,61,31,29
Arizona,2020,14,4/4/2020,1357,1234,,258,41,66,25,79,26,15,18,256,57,58,55
Arizona,2020,15,4/11/2020,1403,1261,11,243,58,57,26,84,28,17,15,255,69,91,88
Arizona,2020,16,4/18/2020,1316,1192,10,255,38,70,22,74,13,21,12,248,48,96,87
Arizona,2020,17,4/25/2020,1384,1280,,266,39,76,18,64,24,15,19,283,63,106,99
Arizona,2020,18,5/2/2020,1404,1268,,240,57,57,24,75,14,17,17,318,75,106,96
Arizona,2020,19,5/9/2020,1427,1286,10,253,47,60,16,77,21,11,32,284,60,126,121
Arizona,2020,20,5/16/2020,1306,1156,,233,40,65,17,65,23,21,18,227,53,118,111
Arizona,2020,21,5/23/2020,1289,1140,10,238,54,79,15,59,22,12,11,233,67,99,90
Arizona,2020,22,5/30/2020,1310,1170,,244,47,43,17,74,22,19,19,249,60,116,101
Arizona,2020,23,6/6/2020,1399,1213,,253,39,64,16,62,14,12,11,270,60,132,127
Arizona,2020,24,6/13/2020,1463,1295,10,247,47,66,13,73,26,12,17,280,55,173,154
Arizona,2020,25,6/20/2020,1550,1389,13,263,56,71,12,82,29,13,18,262,64,207,193
Arizona,2020,26,6/27/2020,1617,1461,12,261,45,71,16,68,26,24,21,289,62,258,239
Arizona,2020,27,7/4/2020,1774,1611,,247,58,78,21,70,25,13,20,294,66,388,359
Arizona,2020,28,7/11/2020,1954,1776,12,250,68,76,34,81,39,13,27,313,62,508,479
Arizona,2020,29,7/18/2020,1995,1740,,237,47,78,29,69,27,17,22,318,58,548,509
Arizona,2020,30,7/25/2020,1863,1669,,263,52,85,16,61,21,11,29,292,58,477,450
Arizona,2020,31,8/1/2020,1792,1569,13,246,58,63,29,75,20,13,24,281,65,390,362
Arizona,2020,32,8/8/2020,1586,1388,,240,44,51,17,65,14,20,23,268,62,305,279
Arizona,2020,33,8/15/2020,1526,1360,,242,56,61,20,56,21,11,29,242,55,249,232
Arizona,2020,34,8/22/2020,1505,1299,,259,49,62,14,74,19,,26,272,59,174,155
Arizona,2020,35,8/29/2020,1467,1271,,266,69,64,12,60,21,14,29,269,72,129,113
Arizona,2020,36,9/5/2020,1296,1128,,229,43,54,12,52,20,20,23,272,40,96,80
Arizona,2020,37,9/12/2020,1282,1122,10,243,42,45,14,55,26,15,19,259,58,61,56
Arizona,2020,38,9/19/2020,1259,1124,,238,43,54,14,57,,13,19,270,62,66,55
Arizona,2020,39,9/26/2020,1285,1152,11,241,51,61,11,65,16,10,19,239,63,56,44
Arizona,2020,40,10/3/2020,1202,1047,,213,28,48,18,61,10,15,27,268,56,35,30
Arizona,2020,41,10/10/2020,1241,1098,,230,45,60,,58,22,18,12,225,56,53,47
Arizona,2020,42,10/17/2020,1236,1094,19,221,40,43,12,61,21,18,19,261,67,47,39
Arizona,2020,43,10/24/2020,1282,1139,,247,45,52,18,58,17,16,20,254,65,63,57
Arizona,2020,44,10/31/2020,1312,1161,,233,40,48,12,66,20,11,18,261,60,82,71
Arizona,2020,45,11/7/2020,1399,1247,,243,45,61,12,63,16,12,23,290,56,125,102
Arizona,2020,46,11/14/2020,1252,1141,,225,39,61,14,54,13,11,11,255,48,124,113
Arizona,2020,47,11/21/2020,1525,1386,12,250,47,65,18,70,15,11,23,302,66,203,182
Arizona,2020,48,11/28/2020,1531,1399,,230,45,48,16,51,23,10,16,270,55,307,286
Arizona,2020,49,12/5/2020,1696,1574,10,223,76,51,19,68,23,10,19,285,61,416,387
Arizona,2020,50,12/12/2020,2004,1863,,247,65,78,27,84,26,14,24,309,77,574,526
Arizona,2020,51,12/19/2020,2098,1967,,248,56,64,34,75,22,21,20,303,72,734,682
Arizona,2020,52,12/26/2020,2205,2070,,264,50,76,26,91,26,17,32,319,78,765,708
Arizona,2020,53,1/2/2021,2302,2147,12,241,67,62,26,82,30,15,25,341,59,883,817
Arizona,2021,1,1/9/2021,2426,2264,10,263,78,78,22,79,34,20,21,352,54,942,891
Arizona,2021,2,1/16/2021,2466,2302,14,265,58,68,25,71,30,28,23,339,79,996,939
Arizona,2021,3,1/23/2021,2404,2248,12,251,54,72,30,75,24,19,24,329,84,959,894
Arizona,2021,4,1/30/2021,2083,1952,,249,58,56,27,67,24,14,21,325,54,776,717
Arizona,2021,5,2/6/2021,1995,1824,10,239,47,46,16,75,29,14,20,304,72,660,613
Arizona,2021,6,2/13/2021,1740,1595,15,234,40,60,19,61,27,18,16,291,61,505,458
Arizona,2021,7,2/20/2021,1552,1419,,246,47,42,17,70,17,19,16,262,55,338,306
Arizona,2021,8,2/27/2021,1516,1375,10,253,45,53,12,61,19,17,18,279,46,237,212
Arizona,2021,9,3/6/2021,1495,1355,13,248,44,50,17,81,12,24,18,301,65,184,158
Arizona,2021,10,3/13/2021,1412,1273,11,238,54,44,15,66,16,14,20,304,82,129,103
Arizona,2021,11,3/20/2021,1391,1241,,268,62,56,14,70,15,22,19,278,65,122,94
Arizona,2021,12,3/27/2021,1288,1144,11,236,47,55,10,65,22,,14,264,63,75,62
Arizona,2021,13,4/3/2021,1346,1179,13,252,47,55,,55,27,19,,286,74,56,48
Arizona,2021,14,4/10/2021,1274,1122,11,247,36,53,18,68,16,17,13,256,55,64,53
Arizona,2021,15,4/17/2021,1319,1162,,284,49,36,16,64,11,16,11,261,76,57,46
Arizona,2021,16,4/24/2021,1250,1107,,259,52,43,20,52,27,20,16,234,56,43,38
Arizona,2021,17,5/1/2021,1279,1120,10,228,54,57,13,70,17,16,,267,52,54,47
Arizona,2021,18,5/8/2021,1414,1233,10,269,44,51,10,76,19,26,14,283,58,63,56
Arizona,2021,19,5/15/2021,1325,1153,,237,38,55,11,52,19,10,10,291,56,57,48
Arizona,2021,20,5/22/2021,1254,1113,,232,40,53,19,54,15,19,11,247,60,54,46
Arizona,2021,21,5/29/2021,1251,1082,,231,36,43,23,66,19,12,11,261,49,48,37
Arizona,2021,22,6/5/2021,1335,1131,10,233,47,41,10,76,26,11,17,235,57,41,35
Arizona,2021,23,6/12/2021,1302,1110,,254,33,50,13,61,17,12,12,242,60,35,27
Arizona,2021,24,6/19/2021,1356,1174,,234,54,50,15,65,23,16,17,281,61,44,33
Arizona,2021,25,6/26/2021,1388,1180,,263,44,36,12,82,15,11,20,290,66,46,40
Arizona,2021,26,7/3/2021,1328,1143,11,254,41,43,12,59,23,10,16,264,59,41,34
Arizona,2021,27,7/10/2021,1299,1089,,248,37,43,12,62,22,,23,263,50,41,35
Arizona,2021,28,7/17/2021,1362,1153,10,253,41,39,12,55,16,17,16,262,77,56,50
Arizona,2021,29,7/24/2021,1258,1078,12,212,50,49,14,58,15,14,13,252,49,70,65
Arizona,2021,30,7/31/2021,1302,1155,11,266,43,30,20,59,15,20,17,252,54,110,101
Arizona,2021,31,8/7/2021,1507,1304,11,271,53,49,16,62,21,13,15,274,74,127,119
Arizona,2021,32,8/14/2021,1472,1281,,269,45,39,17,67,19,14,24,252,65,162,147
Arizona,2021,33,8/21/2021,1495,1329,,249,39,55,19,75,19,16,28,257,72,180,171
Arizona,2021,34,8/28/2021,1592,1399,,248,41,54,12,64,20,16,26,290,66,214,203
Arizona,2021,35,9/4/2021,1625,1447,16,232,60,70,18,80,23,16,26,280,61,274,253
Arizona,2021,36,9/11/2021,1616,1418,,244,48,62,11,64,22,14,30,263,52,281,265
Arizona,2021,37,9/18/2021,1617,1456,15,271,41,56,26,64,26,26,13,291,61,266,246
Arizona,2021,38,9/25/2021,1577,1420,12,256,42,57,19,60,14,10,15,288,64,286,272
Arizona,2021,39,10/2/2021,1616,1473,10,252,48,65,23,80,22,14,12,280,61,272,255
Arizona,2021,40,10/9/2021,1559,1405,,270,62,47,20,72,14,,22,262,55,245,231
Arizona,2021,41,10/16/2021,1554,1414,,231,51,57,17,72,22,21,12,274,61,263,243
Arizona,2021,42,10/23/2021,1475,1302,,239,44,48,21,73,21,13,12,240,63,231,216
Arizona,2021,43,10/30/2021,1592,1436,11,243,52,51,16,62,23,17,22,277,57,279,258
Arizona,2021,44,11/6/2021,1573,1417,16,225,38,70,15,71,11,16,16,293,66,268,251
Arizona,2021,45,11/13/2021,1698,1559,13,260,52,58,19,83,23,21,13,308,55,353,322
Arizona,2021,46,11/20/2021,1769,1619,,230,53,52,28,76,25,28,20,321,86,380,344
Arizona,2021,47,11/27/2021,1814,1657,,247,52,59,28,73,20,16,14,319,73,450,428
Arizona,2021,48,12/4/2021,1848,1693,13,236,51,48,30,64,25,20,20,289,78,469,446
Arizona,2021,49,12/11/2021,1966,1809,17,241,71,47,17,86,27,19,19,312,79,542,510
Arizona,2021,50,12/18/2021,1861,1699,13,248,68,65,19,59,31,13,16,299,69,483,454
Arizona,2021,51,12/25/2021,1992,1821,12,281,53,75,44,83,23,23,16,341,64,482,447
Arizona,2021,52,1/1/2022,1876,1712,16,255,48,62,27,62,21,26,29,330,65,434,409
Arizona,2022,1,1/8/2022,2009,1838,10,262,81,59,36,88,25,29,32,341,72,428,393
Arizona,2022,2,1/15/2022,1863,1718,11,265,50,62,25,79,27,28,22,297,68,459,424
Arizona,2022,3,1/22/2022,1891,1753,21,225,59,64,23,83,27,26,26,313,75,500,436
Arizona,2022,4,1/29/2022,1982,1839,16,266,54,73,22,81,28,15,19,344,88,500,442
Arizona,2022,5,2/5/2022,1902,1729,10,246,61,55,29,81,33,18,14,323,60,492,417
Arizona,2022,6,2/12/2022,1863,1705,14,261,57,68,23,87,21,18,23,334,79,415,352
Arizona,2022,7,2/19/2022,1655,1510,10,267,58,42,17,82,26,14,22,278,63,312,270
Arizona,2022,8,2/26/2022,1551,1401,,240,53,51,18,81,21,15,19,290,66,232,192
Arizona,2022,9,3/5/2022,1511,1363,13,281,39,41,15,69,28,22,18,281,75,177,137
Arizona,2022,10,3/12/2022,1514,1348,15,274,60,48,16,86,25,20,13,299,66,131,101
Arizona,2022,11,3/19/2022,1472,1298,10,285,57,51,10,59,18,15,16,301,70,100,76
Arizona,2022,12,3/26/2022,1355,1205,15,249,45,45,15,68,23,18,18,272,62,67,43
Arizona,2022,13,4/2/2022,1326,1163,16,252,39,45,11,60,21,22,19,246,74,42,23
Arizona,2022,14,4/9/2022,1341,1183,11,281,41,56,21,65,21,,15,273,64,32,21
Arizona,2022,15,4/16/2022,1271,1124,,223,46,53,21,68,26,14,13,255,56,25,19
Arizona,2022,16,4/23/2022,1292,1150,,253,44,56,11,55,20,13,15,270,70,22,14
Arizona,2022,17,4/30/2022,1355,1188,,275,40,47,19,59,20,16,22,292,67,29,20
Arizona,2022,18,5/7/2022,1296,1145,,239,43,61,18,66,21,16,24,249,64,23,12
Arizona,2022,19,5/14/2022,1318,1153,,245,51,54,24,62,21,19,17,262,54,25,20
Arizona,2022,20,5/21/2022,1341,1182,,250,40,49,16,64,34,14,20,280,71,34,17
Arizona,2022,21,5/28/2022,1312,1155,,264,47,48,20,65,18,19,17,267,45,32,17
Arizona,2022,22,6/4/2022,1313,1165,,254,38,53,15,61,19,17,27,266,58,38,29
Arizona,2022,23,6/11/2022,1317,1135,11,233,44,66,18,51,24,13,18,291,65,38,26
Arizona,2022,24,6/18/2022,1435,1224,,272,51,47,20,67,15,13,25,279,56,65,48
Arizona,2022,25,6/25/2022,1211,1067,,215,45,43,15,50,21,14,33,248,53,54,35
Arizona,2022,26,7/2/2022,1257,1086,12,239,35,46,24,47,18,12,28,247,57,57,41
Arizona,2022,27,7/9/2022,1328,1149,10,266,39,44,,52,18,14,50,260,53,43,35
Arizona,2022,28,7/16/2022,1453,1234,,250,47,48,10,59,16,12,85,289,68,54,37
Arizona,2022,29,7/23/2022,1440,1255,,238,49,51,,65,17,15,113,274,75,61,44
Arizona,2022,30,7/30/2022,1337,1204,11,240,40,59,14,61,26,17,81,261,57,70,43
Arizona,2022,31,8/6/2022,1304,1179,,242,40,55,18,65,17,16,119,249,41,45,27
